kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,w_ctx,w_sl,w_p31,w_p279,w_ctx_p31,w_ctx_p279,w_alias_inv,bonus_label,bonus_alias,total
university,Q192775,université de Glasgow,none,0,0,1.6,4.26,3.0,0.0,44.7,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.81
university,Q487556,université de Sydney,none,0,0,1.6,4.11,2.0,0.0,41.7,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.91
university,Q391028,Université de la Colombie-Britannique,none,0,0,1.6,4.04,4.0,0.0,40.0,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.06
university,Q319078,Université de Melbourne,none,0,0,1.6,4.04,2.0,0.0,26.8,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.47
university,Q223429,Université de Birmingham,none,0,0,1.6,4.08,3.0,0.0,38.4,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.4
university,Q459506,université de Bristol,none,0,0,2.7,4.04,4.0,0.0,39.1,0.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.66
university,Q178848,université de Notre-Dame-du-Lac,none,0,0,1.6,4.06,5.0,0.0,42.4,0.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.18
university,Q168515,Université de l'Utah,none,0,0,1.6,3.85,2.0,0.0,29.7,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.26
university,Q499451,université Rutgers,none,0,0,0.5,3.95,4.0,0.0,40.7,0.0,0.125,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.62
university,Q216273,Université de St Andrews,none,0,0,1.6,4.14,4.0,0.0,43.6,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.54
university,Q1185955,université du Nevada à Reno,none,0,0,1.1,3.04,3.0,0.0,36.9,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.11
university,Q823917,université de Sheffield,none,0,0,1.6,3.85,2.0,0.0,33.0,0.0,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.03
university,Q52413,université du Kansas,none,0,0,1.1,3.78,4.0,0.0,44.2,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.35
university,Q606140,université de Waikato,none,0,0,1.6,3.14,2.0,0.0,26.8,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.41
university,Q1360303,université du Kentucky,none,0,0,2.7,3.61,4.0,0.0,39.2,0.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.44
university,Q734764,université de Nouvelle-Galles du Sud,none,0,0,2.2,3.76,3.0,0.0,41.1,0.0,0.133,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.73
university,Q168426,université de Münster,none,0,0,1.6,3.69,3.0,0.0,42.0,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.19
university,Q270532,université d'Aberdeen,none,0,0,1.1,3.99,2.0,0.0,41.7,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.33
university,Q1517021,université d'Australie-Occidentale,none,0,0,1.6,3.74,3.0,0.0,36.4,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.21
university,Q492318,université de l'Alabama,none,0,0,1.6,3.74,2.0,0.0,24.9,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.3
university,Q640652,université de l'Oklahoma,none,0,0,1.6,3.64,3.0,0.0,38.1,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.08
university,Q153265,université de Cincinnati,none,0,0,1.6,3.5,3.0,0.0,31.9,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.11
university,Q500606,université de Floride du Sud,none,0,0,1.6,3.53,3.0,0.0,32.0,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.01
university,Q1049470,Université de Waterloo,none,0,0,1.6,3.61,3.0,0.0,35.3,0.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.29
university,Q1190812,université du Nouveau-Mexique,none,0,0,1.6,3.37,3.0,0.0,36.1,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.92
governance,Q1553864,governance,label,1,0,4.4,3.89,3.0,2.0,34.4,38.4,0.667,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,61.95
governance,Q895526,governing body,none,0,0,1.6,2.64,0.0,7.0,0.0,48.8,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.55
governance,Q897395,executive board,none,0,0,2.2,2.4,1.0,3.0,42.5,35.8,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.01
