kw_norm,qid,label,ctx_sim,lbl_sim,canon,alias_exact_flag,penalty,exact_bonus,alias_bonus,total,p31_ids,p101_ids,p31_cnt,p101_cnt,p31_fuzzy_ctx
tem,Q82128,temuco,0.0,66.7,14.8,False,0,0.0,0.0,73.5,Q1549591;Q25412763,,2,0,21.9
tem,Q11466,température,0.0,42.9,18.3,False,0,0.0,0.0,74.0,Q230937,,1,0,36.0
tem,Q1136687,temple de la renommée du hockey,0.0,17.6,10.8,False,0,0.0,0.0,41.1,Q42245028,,1,0,25.3
tem,Q196939,témoin,0.0,44.4,15.5,False,0,0.0,0.0,67.2,Q176763;Q851176,,2,0,37.4
tem,Q1454583,temple maçonnique,0.0,30.0,10.5,False,0,0.0,0.0,43.6,,,0,0,0.0
tem,Q663272,expert ou experte judiciaire,0.0,25.0,12.6,False,0,0.0,0.0,50.9,Q214339;Q28640,,2,0,40.6
tem,Q1046088,temple de la renommée,0.0,25.0,12.7,False,0,0.0,0.0,49.6,Q107467117,,1,0,25.7
tem,Q414796,témazépam,0.0,33.3,12.9,False,0,0.0,0.0,53.7,Q113145171,,1,0,32.1
tem,Q1997676,tempoal,0.0,60.0,8.0,False,0,0.0,0.0,49.6,Q1952852,,1,0,27.9
tem,Q1196258,témoignage,0.0,30.8,12.8,False,0,0.0,0.0,53.7,Q21484471;Q23847174,,2,0,41.7
tem,Q720,gengis khan,0.0,54.5,17.2,False,0,0.0,0.0,75.5,Q5,,1,0,39.6
tem,Q363830,tempelhof,0.0,50.0,10.6,False,0,0.0,0.0,53.4,Q35034452,,1,0,27.5
tem,Q4050817,temnothorax,0.0,42.9,8.5,False,0,0.0,0.0,44.4,Q16521,,1,0,33.8
nsfc,Q4501917,national natural science foundation of china,0.0,100.0,5.7,True,0.0,0.0,1.0,107.2,Q327333;Q45400320;Q5509032;Q98675100,,4,0,41.7
nsfc,Q21866939,national society of film critics award,0.0,53.3,4.2,False,0,0.0,0.0,35.7,Q107655869,,1,0,28.2
nsfc,Q1206671,national society of film critics,0.0,100.0,10.1,True,0.0,0.0,1.0,113.2,Q101007233;Q4220917,,2,0,25.3
national natural science foundation of china,Q4501917,national natural science foundation of china,0.0,100.0,5.7,False,0,1.0,0.0,63.3,Q327333;Q45400320;Q5509032;Q98675100,,4,0,41.7
national natural science foundation of china,Q52217896,national natural science foundation of china open access policy,0.0,82.2,0.0,False,0,0.0,0.0,34.5,Q2000006,,1,0,24.6
long range interactions,Q59623883,long range interactions regulate v(d)j recombination at the murine immunoglobulin lambda locus,1.5,39.3,0.0,False,0,0.0,0.0,20.5,Q187685,,1,0,28.7
ab-initio calculations,Q112880948,"ab initio calculations of water and ice : structural, electronic and optical properties",1.5,38.5,0.0,False,0,0.0,0.0,20.2,Q187685,,1,0,28.7
ab-initio calculations,Q97611808,ab initio calculations in scintillator research,1.5,60.9,0.0,False,0,0.0,0.0,29.1,Q187685,,1,0,28.7
hydrogen halides,Q1572088,hydrogen halide,1.5,96.8,12.2,False,0,1.0,0.0,81.1,Q47154513,,1,0,31.2
clouds,Q8074,cloud,0.5,100.0,19.4,True,0.0,1.0,1.0,151.8,Q118733587,,1,0,17.0
clouds,Q868447,the clouds,0.0,100.0,10.9,True,0.0,0.0,1.0,124.5,Q116476516,,1,0,29.3
clouds,Q203247,nuages,0.0,100.0,5.2,True,0.0,0.0,1.0,107.2,Q105543609,,1,0,25.7
clouds,Q2111939,clouds,0.0,100.0,5.7,False,0,1.0,0.0,59.6,Q215380,,1,0,16.4
clouds,Q18676757,clouds,0.0,100.0,0.0,False,0,1.0,0.0,43.5,Q1902763;Q3305213,,2,0,18.4
clouds,Q20174091,clouds,0.0,100.0,2.2,False,0,1.0,0.0,49.0,Q3305213,,1,0,12.3
clouds,Q7723503,the clouds,0.0,100.0,3.5,True,0.0,0.0,1.0,102.0,Q215380,,1,0,16.4
clouds,Q21198594,les nuées,0.5,100.0,2.2,True,0.0,0.0,1.0,99.4,Q3331189,,1,0,24.6
clouds,Q100937286,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.2,Q7302866,,1,0,9.7
clouds,Q50947865,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q20634460,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q21620788,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q28039548,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q19888744,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q98706478,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q860861,,1,0,13.6
clouds,Q20421180,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q5135768,clouds house,0.0,66.7,5.7,False,0,0.0,0.0,45.2,Q3947,,1,0,11.7
clouds,Q1102640,cloudesley shovell,0.0,54.5,8.0,False,0,0.0,0.0,47.3,Q5,,1,0,21.7
clouds,Q106566827,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q100367914,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q113723376,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.5,Q101352,,1,0,18.8
clouds,Q20087051,cloud towers,0.0,100.0,0.0,True,0.0,0.0,1.0,91.3,Q3305213,,1,0,12.3
clouds,Q24055379,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q96000175,clouds,0.0,100.0,3.5,False,0,1.0,0.0,53.0,Q215380,,1,0,16.4
clouds,Q1228867,clouds of witness,0.0,52.2,6.2,False,0,0.0,0.0,40.9,Q7725634,,1,0,15.6
clouds,Q19082498,the clouds,0.0,100.0,2.2,True,0.0,0.0,1.0,98.1,Q7725634,,1,0,15.6
clouds,Q16155561,clouds,0.5,100.0,2.2,False,0,1.0,0.0,50.0,Q134556,,1,0,11.5
clouds,Q5135764,clouds,0.5,100.0,2.2,False,0,1.0,0.0,50.0,Q134556,,1,0,11.5
clouds,Q79288279,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q79291843,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q79288389,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q79294867,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q18563217,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q18761202,,1,0,11.1
clouds,Q79288341,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
clouds,Q102080180,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.4,Q860861,,1,0,13.6
clouds,Q79294053,clouds,0.0,100.0,0.0,False,0,1.0,0.0,42.3,Q3305213,,1,0,12.3
